
> lifeos@0.1.0 dev
> next dev -H 127.0.0.1

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env
✓ Ready in 231ms
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'allowedDevOrigins' at "experimental"
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
- Experiments (use with caution):
  ? allowedDevOrigins (invalid experimental key)

 GET /api/db/project 200 in 8ms (next.js: 3ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 10ms (next.js: 5ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 7ms (next.js: 1835µs, application-code: 5ms)
 GET /api/db/userSettings 200 in 9ms (next.js: 5ms, application-code: 4ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 4ms, application-code: 4ms)
 GET / 200 in 22ms (next.js: 3ms, application-code: 19ms)
 GET /api/db/project 200 in 21ms (next.js: 4ms, application-code: 17ms)
 GET /api/db/trade 200 in 23ms (next.js: 7ms, application-code: 16ms)
 GET /api/db/fitnessEntry 200 in 24ms (next.js: 9ms, application-code: 15ms)
 GET /api/db/habitEntry 200 in 27ms (next.js: 13ms, application-code: 14ms)
 GET /api/db/timelineEvent 200 in 28ms (next.js: 15ms, application-code: 13ms)
 GET /api/db/userSettings 200 in 31ms (next.js: 16ms, application-code: 15ms)
 GET /api/db/userSettings 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /api/db/userSettings 200 in 6ms (next.js: 1303µs, application-code: 4ms)
[?25h
